BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,
6023521,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6023521,,,pj7755_b8_h3633_1880,
6024752,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6024752,,,bc66_a7_a3573_1883,
6026657,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6026657,,,pj6141_5_i26_1905_c1,
6026663,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6026663,,,pj6101_i2383_b34735,
6026833,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6026833,,,pj6141_5_i26_1905_c2,
6031687,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6031687,,,pj6101_i23_m35535_1891,
6031737,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6031737,,,bp135_a128_a235_1889,
6031756,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6031756,,,bp179_g366_1890_c1-2,
6031773,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6031773,,,bp165_5_g366_1892,
6031779,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6031779,,,bp184_3_k385_1891,
6032253,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6032253,,,kbp320_i2616_a38_1884,
6034147,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6034147,,,kbp320_i2624_a383835_1893_v1-2,
6034154,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6034154,,,pj6171_s84_1890,
6034155,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6034155,,,kbp320_k43_a36356_1890z,
6051881,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6051881,,,bc66_a7_a357335_1893_v1-2,
6051886,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6051886,,,bp189_62_i2636_1893,
6051889,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6051889,,,kbp494_55_i26145_a2_1894,
6051891,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6051891,,,bc66_a7_q237347_1896,
6051894,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6051894,,,ct2672_a439_1896,
6051895,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6051895,,,bp174_b338_1897,
6053927,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053927,,,hq461_n34_1900,
6053928,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053928,,,bc66_a7_a357335_1893b_v1,
6053931,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053931,,,bp178_i23_1900,
6053932,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053932,,,bp165_5_a2227_1899,
6053934,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053934,,,bp165_5_a2227345_1897,
6053936,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053936,,,bp188_9_d377_1970,
6053942,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053942,,,bp188_9_i277_1893,
6053947,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6053947,,,bc66_a7_q237347_1896b,
6054951,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6054951,,,bp166_8_i265_1906,
6054952,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6054952,,,pj6148_5_p73_b355_1901,
6057329,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6057329,,,qb216_a43_1934,
6057331,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6057331,,,bp184_9_d5_h864_1908,
6057332,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6057332,,,bp188_9_w857_1900z,
6057466,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6057466,,,bp188_9_i224_1902,
6057979,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6057979,,,kbp3327_m356_1900z,
6057980,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6057980,,,bp166_f376_1880,
6058134,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6058134,,,bp189_62_i26325_1906,
6058140,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6058140,,,hq461_s89_1901,
6058145,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6058145,,,bp166_73_a43_1893,
6059159,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059159,,,r128_3_j397_1903,
6059206,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059206,,,qb216_j33733_1908,
6059207,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059207,,,pj6101_s93635_1900,
6059211,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059211,,,dt329_f4_h39_1900z,
6059215,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059215,,,dt324_k38_1908,
6059218,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059218,,,kbp320_k43_a3637_1904,
6059223,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059223,,,bp77_2_s58_1914,
6059749,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059749,,,kbp320_s25_a3337_1901,
6059750,Fez,sceti-completed\One_Off_Printed\Fez,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=6059750,,,bp184_4_k367_1800z,
