STATUS ,BibID,Collection,Directory,File Path,,Link to Print at Penn,,,File name,,FOUND PATH
MATCH,159461,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=159461,,,PR3639_P445_V57_1784,,./EarlyNovelsDigitization/PR3639_P445_V57_1784
MATCH,553887,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=553887,,,pr3671_r4_f75_1700z,,./EarlyNovelsDigitization/pr3671_r4_f75_1700z
MATCH,199981,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=199981,,,pr3736_t734_m5_1770,,./EarlyNovelsDigitization/pr3736_t734_m5_1770
MATCH,60786,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=60786,,,pr3736_t734_p3_1771,,./EarlyNovelsDigitization/pr3736_t734_p3_1771
MATCH,59364,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=59364,,,pr3991_a1_a27_1797,,./EarlyNovelsDigitization/pr3991_a1_a27_1797
MATCH,161070,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=161070,,,pr3991_a1_b52_1782_v1-2,,./EarlyNovelsDigitization/pr3991_a1_b52_1782_v1-2
MATCH,148253,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=148253,,,pr3991_a1_c42_1779,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3991_a1_c42_1779
MATCH,1798493,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=1798493,,,pr3991_a1_c6643_1769,,./EarlyNovelsDigitization/pr3991_a1_c6643_1769
MATCH,187836,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=187836,,,pr3991_a1_c67_1776,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3991_a1_c67_1776
MATCH,186139,Early Novels,\sceti-completed\One_Off_Printed\EarlyNovelsDigitization,,,http://dla.library.upenn.edu/dla/print/pageturn.html?q=186139,,,pr3991_a1_d569_1776,,./EarlyNovelsDigitization/Batch2QApass_shared51917/pr3991_a1_d569_1776
